User Language,"Please answer 13 questions about one of your classes this fall. 
1.  What college are you attending?","2.  What class you are taking?  
     (Please choose one. If you like, you can do the survey again for another class.)",3.  Is this class on campus (in person) or online?,4.  Instruction is at the right level for me in this class.,5.  The pace of this class is okay for me.,6.  How does the teacher of this class help you learn?       Choose the answers that are true for you.,7.  What other things does the teacher do to help you learn?,8.  The teacher helps me to feel welcome in this class.,9.  The teacher of this class speaks to all students with respect.,"13.  I would recommend this class to a friend,",10.  The books and materials for this class are at the right level for me.,11.  I have access to the books and materials I need for this class.,"12. My teacher has given me information about student support services, such as tutoring, the wellness center, academic advising, and career planning.","13.  I would recommend this class to a friend,","You selected ""no"" when asked if you would recommend this class to a friend.  Please tell us why not.",,,,,,,,,,,,
EN,Truman College,Language Arts,online,no - too difficult,yes,"The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",The teacher helps me to get  the GED practice  test.,always,sometimes,yes,yes,sometimes,not sure,yes,,,,,,,,,,,,,
EN,Wright College,Test Taking Skills,on campus (in person),yes,yes,The teacher helps to make the books and materials interesting.,Everything reading writing.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),no - too easy,yes,The teacher helps me understand the materials.,She is very dynamic. She helps us to be really confident. ,always,always,yes,no - too easy,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,Math,online,yes,yes,The teacher helps me understand the materials.,He answers all my questions,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,no - too slow,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.","Overall the classes were good, but I feel the majority of students were at lower level than others and because of that the teaches was going to slow. ",always,always,yes,yes,yes,no,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.",He helped me to understand the language in English. ,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),on campus (in person),yes,no - too slow,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Speaking more,sometimes,always,yes,no - too easy,sometimes,yes,yes,,,,,,,,,,,,,
EN,Olive-Harvey College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,Write et speak English ,never,always,no,no - too difficult,sometimes,yes,no,No,,,,,,,,,,,,
EN,Daley College,Language Arts,online,yes,yes,The teacher helps to make the books and materials interesting.,"Sheâ€™s very helpful, understanding, really nice and takes her time to show us her name is Ms. Kathleen Baker. Sheâ€™s amazing!",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,Test Taking Skills,online,yes,yes,The teacher helps me understand the materials.,She is wonderful with everyone in the class ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Malcolm X College,Bridge,online,yes,yes,The teacher helps me understand the materials.,I love my English teacher ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),on campus (in person),yes,no - too fast,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",He always helps for everything ,always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,Se esfuerza en q aprenda ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",Me explica paso a paso las materias y el modo de usar la computadora ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.",Explains on how to do the work.,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Malcolm X College,Math,online,yes,no - too fast,The teacher helps me understand the materials.,He helps me understand a certain problem then makes sure were grasping the information ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.","Con actividades, en sala de computaciÃ³n",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.",Estudiar inglÃ©s ,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Olive-Harvey College,Language Arts,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",She give me the time I need to help me with thinks that I donâ€™t understand ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",The teacher helps us understand clearly grammar content and essays writing.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,yes,yes,The teacher helps to make the books and materials interesting.,"I am very happy with this class, helping me a lot  thanks ðŸ™ ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,no - too fast,The teacher helps me understand the materials.,Sin comentarios,sometimes,always,no,yes,sometimes,not sure,no,Porque no se entiende al maestro solo completamos tareas y a veces tarda como 40 min para que todos terminamos 1 ejercicio y no explica casi nada y como es virtual nunca se ha presentado no lo conocemos solo sabemos su nombre y para responder algo todos prenden el micrÃ³fono y todos responden al mismo tiempo ,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),,no - too difficult,no - too fast,The teacher helps me learn how to use Zoom.,Nothing she always was sick and and always cancelled the classes for no reason,sometimes,always,no,no - too difficult,no,yes,no,"When the classes are online the theater never give the importance, than to be in person.",,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.",ExplicaciÃ³n clara y precisa sobre los temas de estudio. Amabilidad y disponibilidad durante clase.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,The teacher took many time give to work complete and class finish before half hour.,always,sometimes,yes,yes,sometimes,no,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),on campus (in person),no - too easy,no - too slow,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",she alwayes helps for everytinge,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.","The teacher always is teaching me how to learn so many things like, using MyElt , working with our class nicely and patient she is very nice , im very happy taking English classes thank you so much for your support.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Deja home work,sometimes,sometimes,yes,yes,yes,no,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,no - too fast,The teacher helps me learn how to use Brightspace.,â€¦.,sometimes,always,no,yes,no,yes,no,"La clase en la que yo estoy no, la maestra solo nos pone a escuchar audios y a copiar, me gustarÃ­a que explicara mÃ¡s.",,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",es una excelente profesora y se preocupa mucho para que sus alumnos aprendan.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,yes,yes,The teacher helps to make the books and materials interesting.,Poner videos para aclarar mÃ¡s correctamente el tema que se estÃ© viendo ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,Math,online,no - too easy,yes,The teacher helps me understand the materials.,Learn math ,always,always,yes,no - too easy,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,Language Arts,online,yes,yes,The teacher helps me understand the materials.,History of the United State of America ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",Maybe mor class ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Malcolm X College,ESL (English as a Second Language),online,no - too easy,no - too slow,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",The teacher was amazing and very helpful. ,always,always,yes,no - too easy,yes,not sure,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me learn how to take tests.,Mi maestra estÃ¡ sÃºper preparada me ayuda a entender y comprender es la mejor gracias ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Olive-Harvey College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.",Se toma el tiempo para pasar con cada persona para explicarnos ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,yes,no - too fast,The teacher helps me understand the materials.,Hablan muy rÃ¡pido es difÃ­cil entender,sometimes,always,yes,no - too difficult,sometimes,no,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,Todo bien,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to take tests.","She is great , has a lot of patience, a positive person.Respect all in classroom. 
",always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
